id,name,group_id
951,Stützbandage,137
952,Trainingsmanschette,137
953,Nackenbandage,137
954,Patellabandage,137
955,Rückenbandage,137
956,Oberschenkelbandage,137
957,Geradehalter mit Stützgürtel,137
958,Bandagierunterlage,137
959,Akupressur-System-Bandage,137
960,Ellenbogenbandage,137
961,Anti-Schnarch-Bandage,137
962,Pferdebandage,137
963,Finger- und Zehenschutz,137
964,Fußgelenkbandage,137
965,Bauch- und Rückenstützgürtel,137
966,Handgelenkstütze,137
967,Fingerbandage,137
968,Knieorthese,137
969,Sprunggelenkorthese,137
970,Handbandage,137
971,Achillessehnenbandage,137
972,Schlüsselbeinbandage,137
973,Leistenbruchbandage,137
974,Rippenbandage,137
975,Beckenbandage,137
976,Spreizfußbandage,137
977,Rücken Stützgürtel,137
978,Daumenbandage,137
979,Trockentauch-Halsmanschette,137
980,Zughilfe,137
981,Rückenstabilisator,137
982,Arbeitsstützgürtel,137
983,Armbandage,137
984,Nackenstütze,137
985,Magnet-Fußknöchelbandage,137
986,Bandage,137
987,Unterarmschutz,137
988,Bandmassagegerät,138
989,Banknotenzähler,139
990,Tamper,140
991,Tampermatte,140
992,Barista-Set,140
993,Tamperstation,140
994,Bartwaschgel,141
995,Bartconditioner,141
996,Bartseife,141
997,Bartserum,141
998,Bartcreme,141
999,Bartpflege-Set,141
1000,Bartöl,141
1001,Bartfluid,141
1002,Bartwasser,141
1003,Bartshampoo,141
1004,Bartbalsam,141
1005,Blutstiller-Stift,141
1006,Bartspülung,141
1007,Bartwachs,142
1008,Bartstyling-Set,142
1009,Bart-Modellierpaste,142
1010,Bartwichse,142
1011,Bartgel,142
1012,Bartpomade,142
1013,Baseballschläger,143
1014,Softballschläger,143
1015,Organzaband,144
1016,Borte,144
1017,Kordel,144
1018,Taftband,144
1019,Samtband,144
1020,Dekoband,144
1021,Satinband,144
1022,Bastel-Armband,144
1023,Bastelband,144
1024,Basteldraht,144
1025,Tüllband,144
1026,Schmuckdraht,144
1027,Webband,144
1028,Paspelband,144
1029,Spitzenband,144
1030,Kautschukband,144
1031,Häkelband,144
1032,Filzband,144
1033,Drahtkantenband,144
1034,Geschenkband,144
1035,Streudeko,145
1036,Blattgold,145
1037,Streuglitzer,145
1038,Bastelmoos,145
1039,Pailletten,145
1040,Rindenscheiben,145
1041,Bastelfedern,145
1042,Blattmetall,145
1043,Blattsilber,145
1044,Moos,145
1045,Bastelnaturmaterial,145
1046,Baumrinde,145
1047,Schlagmetall,145
1048,Bügelperlen,145
1049,Kantholz,145
1050,Pailetten,145
